sample,simpsons_index
Fall_Allegheny_1,0.046998
Fall_Allegheny_2,0.036446
Fall_Allegheny_3,0.046339
Fall_Braddock_1,0.110131
Fall_Braddock_2,0.126896
Fall_Braddock_3,0.059781
Fall_Control_1,0.049593
Fall_Control_2,0.075294
Fall_Control_3,0.103701
Fall_Monongahela_1,0.073572
Fall_Monongahela_2,0.086385
Fall_Monongahela_3,0.092884
Fall_Neville_1,0.040495
Fall_Neville_2,0.061379
Fall_Neville_3,0.067932
Fall_Sharpsburg_1,0.042694
Fall_Sharpsburg_2,0.031726
Fall_Sharpsburg_3,0.049246
Fall_Sharpsburg_4,0.039756
Spring_Braddock_1,0.069900
Spring_Braddock_2,0.070834
Spring_Control_1,0.062221
Spring_Monongahela_1,0.030990
Spring_Monongahela_2,0.062538
Spring_Neville_1,0.054402
Spring_Sharpsburg_1,0.032857
Summer_Allegheny_1,0.041120
Summer_Braddock_1,0.035828
Summer_Braddock_2,0.035376
Summer_Monongahela_1,0.038767
Summer_Neville_1,0.035795
Summer_Neville_2,0.067254
Summer_Sharpsburg_1,0.041582
Summer_Sharpsburg_2,0.037898
Winter_Allegheny_2,0.064097
Winter_Allegheny_3,0.064528
Winter_Braddock_1,0.055968
Winter_Braddock_2,0.068091
Winter_Braddock_3,0.054551
Winter_Control_2,0.033262
Winter_Monongahela_1,0.036648
Winter_Monongahela_2,0.048243
Winter_Monongahela_3,0.071429
Winter_Neville_1,0.048495
Winter_Neville_2,0.060666
Winter_Neville_3,0.056328
Winter_Sharpsburg_1,0.035104
Winter_Sharpsburg_2,0.027999
Winter_Sharpsburg_3,0.028446
